species_name,sites_as_best_species
Mus musculus,3
Peromyscus boylii,3
Reithrodontomys megalotis,3
Sigmodon hispidus,3
Chaetodipus californicus,2
Chaetodipus hispidus,2
Dipodomys ordii,2
Microtus ochrogaster,2
Neotoma lepida,2
Ochrotomys nuttalli,2
Onychomys leucogaster,2
Peromyscus gossypinus,2
Chaetodipus eremicus,1
Chaetodipus penicillatus,1
Dipodomys merriami,1
Dipodomys microps,1
Dipodomys spectabilis,1
Lemmiscus curtatus,1
Microtus longicaudus,1
Microtus pennsylvanicus,1
Microtus pinetorum,1
Neotoma floridana,1
Onychomys arenicola,1
Oryzomys palustris,1
Perognathus flavus,1
Perognathus parvus,1
Peromyscus nasutus,1
Peromyscus polionotus,1
Peromyscus truei,1
Reithrodontomys fulvescens,1
Reithrodontomys humulis,1
Synaptomys cooperi,1
